"","ownership","mean_res_rate","sd_res_rate","n"
"1","Cooperative",0.124703387877199,0.0311585612101261,20406
"2","Federal",0.00228878115318145,0.0151873291961357,1836
"3","Investor Owned",0.115468626657475,0.0529387520735191,52177
"4","Municipal",0.126393501680465,0.0375003168167318,3492
"5","Political Subdivision",0.105311905614584,0.031865403144867,1509
"6","Retail Power Marketer",0.141002467308387,0.001336319614541,256
"7","State",0.150799828331212,0.0512142722260763,528
